fit,route,acronym,title,scheme,start,end,ec_contribution,coordinator,coord_country,coord_city,coord_url,coord_contact_form,n_partners,partner_institutions,tags,cordis_url
8,PI-HELD GRANT - cold outreach to coordinator,SEA4FUTURE,Sustainable and  Ecosystem-based Approach for Fisheries through the Utilization of Technology to Uphold Resilient Environments,HORIZON-IA,2026-01-01,2029-12-31,"7999200,26",UNIVERSIDAD DE ALICANTE,ES,Alicante,http://www.ua.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999895886/101212647,21,"CONSIGLIO NAZIONALE DELLE RICERCHE (IT) | UNIVERSITAT POLITECNICA DE CATALUNYA (ES) | TURKIYE BILIMSEL VE TEKNOLOJIK ARASTIRMA KURUMU (TR) | UNIVERSIDAD DE SANTIAGO DE COMPOSTELA (ES) | HELLENIC CENTRE FOR MARINE RESEARCH (EL) | MINDS TECHNOLOGIES KAI EPISTIMES PERIVALLONTOS I.K.E. (EL) | UNIVERSITAT DE GIRONA (ES) | LIVERPOOL JOHN MOORES UNIVERSITY (UK) | STAZIONE ZOOLOGICA ANTON DOHRN (IT) | KRITI (EL) | STICHTING EUROCEAN (NL) | ARDITI - AGENCIA REGIONAL PARA O DESENVOLVIMENTO DA INVESTIGACAO, TECNOLOGIA E INOVACAO - ASSOCIACAO (PT) | SUBMON (ES) | SCITATION - SCIENCE COMMUNICATION,UNIPESSOAL LDA (PT) | ETHIC OCEAN (FR) | ALTUM INGENIERIA Y SERVICIOS SL (ES) | FISHTEK MARINE (UK) | SOCIETE COOPERATIVE MARITIME DES PECHEURS DE SETE MOLE (FR) | ECOLOGIC INSTITUT GEMEINNUTZIGE GMBH (DE) | AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (ES) | ISTANBUL UNIVERSITESI (TR)","culturomics,biodiv",https://cordis.europa.eu/project/id/101212647
8,PI-HELD GRANT - cold outreach to coordinator,REMEDYOS,CLIMATE-RESILIENT INTEGRATED BIO- AND NATURE-BASED REMEDIATION OF PFAS-POLLUTED SITES,HORIZON-RIA,2026-06-01,2030-05-31,"3997392,65","IRIS TECHNOLOGY SOLUTIONS, SOCIEDAD LIMITADA",ES,CORNELLA DE LLOBREGAT,http://www.iris.cat,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998993786/101262484,11,BIOPTERRE CENTRE DE DEVELOPPEMENT DES BIOPRODUITS (CA) | UNIVERSIDAD DE ALMERIA (ES) | UNIVERSIDAD DE BURGOS (ES) | SVERIGES LANTBRUKSUNIVERSITET (SE) | IDENER RESEARCH & DEVELOPMENT AIE (ES) | NOVOBIOM (BE) | VEOLIA NV-SA (BE) | VEOLIA SERVICIOS LECAM SA (ES) | RAMBOLL DANMARK AS (DK) | VEREIN DER EUROPAISCHEN BURGEWISSENSCHAFTEN - ECSA EV (DE) | INOSENS DOO NOVI SAD (RS),"culturomics,biodiv",https://cordis.europa.eu/project/id/101262484
8,PI-HELD GRANT - cold outreach to coordinator,NUTRIMIND,Improving Mental Health and Nutrition in Europe,HORIZON-RIA,2026-06-01,2030-05-31,"5372351,16",EUROPEAN FOOD INFORMATION COUNCIL,BE,BRUXELLES,http://www.eufic.org,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999954474/101287404,15,"CAPACITY DEVELOPMENT IN NUTRITION CAPNUTRA (RS) | EUROPEAN FOOD INFORMATION RESSOURCE AISBL (BE) | WAGENINGEN UNIVERSITY (NL) | QUADRAM INSTITUTE BIOSCIENCE (UK) | UNIVERSITY OF SURREY (UK) | INSTITUT JOZEF STEFAN (SI) | UNIVERSITY COLLEGE CORK -  NATIONAL UNIVERSITY OF IRELAND, CORK (IE) | SWISS NUTRITION AND HEALTH FOUNDATION (CH) | CONSORCIO CENTRO DE INVESTIGACION BIOMEDICA EN RED M.P. (ES) | FUNDACIO INSTITUT D'INVESTIGACIO SANITARIA PERE VIRGILI (IISPV) (ES) | UNIVERSITEIT GENT (BE) | UNIVERSITA CATTOLICA DEL SACRO CUORE (IT) | INTERNATIONALES INSTITUT FUER ANGEWANDTE SYSTEMANALYSE (AT) | SCIENSANO (BE) | EUROPROJECT OOD (BG)","culturomics,media",https://cordis.europa.eu/project/id/101287404
8,PI-HELD GRANT - cold outreach to coordinator,ROUTES,Reimagining Open schoolyards and Urban sTreets as Equitable Spaces,HORIZON-RIA,2026-09-01,2030-08-31,"3499376,41",TECHNISCHE UNIVERSITEIT DELFT,NL,Delft,http://www.tudelft.nl,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999977366/101308841,15,"TECHNISCHE UNIVERSITAET MUENCHEN (DE) | ECOLE NATIONALE DES TRAVAUX PUBLICS DE L'ETAT (FR) | AALTO KORKEAKOULUSAATIO SR (FI) | UNIVERSITETI POLITEKNIK I TIRANES (AL) | HUMANKIND BV (NL) | FRANSEN KOOS DRIES (BE) | IVN, INSTITUUT VOOR NATUUREDUCATIEEN DUURZAAMHEID (NL) | STICHTING BYCS GLOBAL FOUNDATION (NL) | FONDAZIONE TRANSFORM TRANSPORT ETS (IT) | AGJENCIA KOMBËTARE E PLANIFIKIMIT TË TERRITORIT (AL) | METROPOLITNY INSTITUT BRATISLAVY (SK) | GEMEENTE ROTTERDAM (NL) | ESPOON KAUPUNKI (FI) | REAR WINDOW (BE) | QENDRA MARREDHENIE (AL)","culturomics,media",https://cordis.europa.eu/project/id/101308841
8,PI-HELD GRANT - cold outreach to coordinator,SOILCHAINS,Global SOIL impacts of the bio-based value CHAINS from EU demand,HORIZON-RIA,2026-10-01,2030-09-30,"5999906,25",EUROPEAN FOREST INSTITUTE,FI,JOENSUU,http://www.efi.int,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999528547/101296958,14,"LUONNONVARAKESKUS (FI) | SENCKENBERG GESELLSCHAFT FUR NATURFORSCHUNG (DE) | FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV (DE) | UNIVERSITY OF STUTTGART (DE) | PENSOFT PUBLISHERS (BG) | FORUM FOR AGRICULTURAL RESEARCH IN AFRICA, GHANA (GH) | HAWASSA UNIVERSITY (ET) | CENTRO INTERNACIONAL DE AGRICULTURATROPICAL, CIAT (CO) | PREFERRED BY NATURE S.A.C. (PE) | Preferred by Nature Ghana LBG (GH) | PREFERRED BY NATURE SPAIN SL (ES) | NEPCON COTE D IVOIRE (CI) | PREFERRED BY NATURE FMBA (DK) | Instituto Federal de Educação, Ciência e Tecnologia Goiano (BR)","trade,biodiv",https://cordis.europa.eu/project/id/101296958
8,PI-HELD GRANT - cold outreach to coordinator,NATURETIME,Understanding how nature reshapes human sense of time to foster well-being and sustainable futures,HORIZON-ERC,2026-06-01,2031-05-31,1983773,TURUN YLIOPISTO,FI,Turku,http://www.utu.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999903064/101230145,0,,"culturomics,media",https://cordis.europa.eu/project/id/101230145
8,PI-HELD GRANT - cold outreach to coordinator,QEAST,Archiving and Curating the Margins: Queer Memory Activism and Infrastructures in Southeastern and Eastern Europe,HORIZON-ERC,2026-07-01,2031-06-30,1499500,UNIVERZA V LJUBLJANI,SI,Ljubljana,http://www.uni-lj.si,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999923240/101222199,0,,"culturomics,language",https://cordis.europa.eu/project/id/101222199
8,PI-HELD GRANT - cold outreach to coordinator,PRECISION ImmunoRad,Personalized molecular reprogramming of the tumor immune microenvironment and engineered adoptive cell transfer in synergy with ion-beam radiotherapy for next-generation curative cancer treatments,HORIZON-ERC-SYG,2026-06-01,2032-05-31,13999999,UNIVERSITATSKLINIKUM HEIDELBERG,DE,HEIDELBERG,http://www.klinikum.uni-heidelberg.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999841081/101225200,3,THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA CORP (US) | CYPRUS CANCER RESEARCH INSTITUTE (CY) | DEUTSCHES KREBSFORSCHUNGSZENTRUM HEIDELBERG (DE),"trade,language",https://cordis.europa.eu/project/id/101225200
7,PI-HELD GRANT - cold outreach to coordinator,PlantHealth4ALL,Engaging Society on Plant Health for a Sustainable Future,HORIZON-CSA,2026-05-01,2028-04-30,"349937,5",BENAKI PHYTOPATHOLOGICAL INSTITUTE,EL,ATHINA,https://www.bpi.gr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998193633/101305496,3,CONSIGLIO PER LA RICERCA IN AGRICOLTURA E L'ANALISI DELL'ECONOMIA AGRARIA (IT) | INSTITUTO VALENCIANO DE INVESTIGACIONES AGRARIAS (ES) | CENTRO INTERNAZIONALE DI ALTISTUDI AGRONOMICI MEDITERRANEI (IT),"zoonotic,biodiv",https://cordis.europa.eu/project/id/101305496
7,PI-HELD GRANT - cold outreach to coordinator,Interspecific,"Biodiversity, Local Knowledge and Zoonoses in Austronesia: Ethnography of Bats and Related Interspecific Communities",HORIZON-ERC,2023-09-01,2028-08-31,2495644,UNIVERSITE CATHOLIQUE DE LOUVAIN,BE,LOUVAIN LA NEUVE,http://www.uclouvain.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999980664/101094311,0,,"zoonotic,biodiv",https://cordis.europa.eu/project/id/101094311
7,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",UrbanLightOwl,The impact of artificial light at night on an owl-malaria-vector system.,HORIZON-TMA-MSCA-PF-EF,2026-11-01,2028-10-31,"260347,92",UNIVERSITY OF GLASGOW,UK,Glasgow,http://www.gla.ac.uk/researchinstitutes/iii/staff/iainmcinnes/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999974165/101265076,0,,"zoonotic,biodiv",https://cordis.europa.eu/project/id/101265076
7,PI-HELD GRANT - cold outreach to coordinator,VetValues,Farm animal value-scapes: veterinarians and the contrasting values of European livestock production,HORIZON-ERC,2024-01-01,2028-12-31,1499884,UNIVERSITEIT VAN AMSTERDAM,NL,Amsterdam,https://worldsoflithium.eu/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999985708/101115677,0,,"zoonotic,biodiv",https://cordis.europa.eu/project/id/101115677
7,PI-HELD GRANT - cold outreach to coordinator,FRUITDIV,Exploiting the Untapped potential of Fruit tree Wild DIVersity for Sustainable Agriculture,HORIZON-RIA,2024-01-01,2028-12-31,"5998693,75","INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT",FR,PARIS CEDEX 07,http://www.inra.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999993274/101133964,27,UNIVERSITE DE BORDEAUX (FR) | ARCADIA INTERNATIONAL GEIE (BE) | ARCHE NOAH GESELLSCHAFT FUR DIE ERHALTUNG DER KULTURPFLANZENVIELFALT UND IHRE ENTWICKLUNG VEREIN (AT) | ARISTOTELIO PANEPISTIMIO THESSALONIKIS (EL) | BALKANSKA FONDACIJA ZA ODRZLIV RAZVOJ (MK) | CENTRE DE RECERCA EN AGRIGENOMICA CSIC-IRTA-UAB-UB (ES) | CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS (FR) | CENTRE WALLON DE RECHERCHES AGRONOMIQUES (BE) | CENTRO DE INVESTIGACION Y TECNOLOGIA AGROALIMENTARIA DE ARAGON (ES) | CEP INNOVATION SARL (FR) | ELLINIKOS GEORGIKOS ORGANISMOS - DIMITRA (EL) | FEDERAZIONE ITALIANA PARCHI E RISERVE NATURALI (IT) | FONDAZIONE EDMUND MACH (IT) | GOZDARSKI INSTITUT SLOVENIJE (SI) | GROUPE DE RECHERCHE EN AGRICULTUREBIOLOGIQUE ASSOCIATION (FR) | INRAE TRANSFERT SAS (FR) | INSTITUT ZA NIZIJSKO SUMARSTVO I ZIVOTNU SREDINU (RS) | INSTITUTE OF BOTANY AFTER A. TAKHTAJYAN OF NATIONAL ACADEMY OF SCIENCES OF REPUBLIC OF ARMENIA (AM) | INSTITUTUL DE CERCETARI BIOLOGICE CLUJ FILIALA A INCDSB BUCURESTI (RO) | JULIUS KUHN-INSTITUT BUNDESFORSCHUNGSINSTITUT FUR KULTURPFLANZEN (DE) | NACIONALNI INSTITUT ZA BIOLOGIJO (SI) | SOCIEDAD ESPANOLA DE AGRICULTURA ECOLOGICA (ES) | UNIVERSITA DEGLI STUDI DELLA BASILICATA (IT) | UNIVERZITET U SARAJEVU (BA) | UPPSALA UNIVERSITET (SE) | ZAVOD ZA GOZDOVE SLOVENIJE (SI) | ZVEZA KMETIC SLOVENIJE (SI),"zoonotic,biodiv",https://cordis.europa.eu/project/id/101133964
7,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",MorPreDiv,Beyond the blood: Diversity and Mortality Impact of Haemosporidian Parasites in European Birds.,HORIZON-TMA-MSCA-PF-EF,2027-01-01,2028-12-31,"260347,92",UNIVERSITY OF KEELE ROYAL CHARTER,UK,KEELE,http://www.keele.ac.uk,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999862324/101278644,0,,"zoonotic,biodiv",https://cordis.europa.eu/project/id/101278644
7,PI-HELD GRANT - cold outreach to coordinator,REALM,Research on Extended And Layered Multimodalities,HORIZON-RIA,2026-06-01,2029-05-31,6199717,UNIVERSIDAD POMPEU FABRA,ES,Barcelona,http://www.upf.edu,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999867077/101298050,10,Cooke Optics Limited (UK) | KATHOLIEKE UNIVERSITEIT LEUVEN (BE) | BRAINSTORM MULTIMEDIA SL (ES) | PANEPISTIMIO PATRON (EL) | EVS BROADCAST EQUIPMENT SA (BE) | EVS BROADCAST EQUIPMENT - PORTUGAL LDA (PT) | FACHHOCHSCHULE ZENTRALSCHWEIZ - HOCHSCHULE LUZERN (CH) | FILMLIGHT GMBH (DE) | PROFESSIONAL MEDIA TECHNOLOGIES SL (ES) | CREATIVE WORKERS-CREATIEVE WERKERS VZW (BE),"zoonotic,language",https://cordis.europa.eu/project/id/101298050
7,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",AUTON,Automation and Occupational Network,HORIZON-TMA-MSCA-PF-GF,2026-08-01,2029-07-31,"309153,72",UNIVERSITA DEGLI STUDI DI CAGLIARI,IT,CAGLIARI,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999841663/101279945,1,MONASH UNIVERSITY (AU),"zoonotic,language",https://cordis.europa.eu/project/id/101279945
7,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",PARABIOTIC,PARAsites as BIOlogical indicators: investigating marine TrophIC networks ecological dynamics,HORIZON-TMA-MSCA-PF-GF,2026-10-15,2029-10-14,"276232,68",STAZIONE ZOOLOGICA ANTON DOHRN,IT,Napoli,http://www.szn.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999468310/101268082,1,UNIVERSIDAD DE COSTA RICA (CR),"zoonotic,biodiv",https://cordis.europa.eu/project/id/101268082
7,DOCTORAL NETWORK - structured PhD recruitment,HEALENAE,HEALth and ENvironment in Africa and Europe,HORIZON-TMA-MSCA-DN-JD,2026-01-01,2029-12-31,"4658684,4",AARHUS UNIVERSITET,DK,Aarhus C,http://www.au.dk,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999997736/101226551,12,THE UNIVERSITY OF EDINBURGH (UK) | UNIVERSITY OF CAPE TOWN (ZA) | UNIVERSITY OF NAIROBI (KE) | KATHOLIEKE UNIVERSITEIT LEUVEN (BE) | UNIVERSITETET I OSLO (NO) | INNOVATION FOR POLICY FOUNDATION (MU) | CHILDREN'S RADIO FOUNDATION (ZA) | Sunshine Cinema NPC (ZA) | SCIENSANO (BE) | MUSEE ROYAL DE L'AFRIQUE CENTRALE (BE) | Centre for Environment Justice and Development (KE) | MAKERERE UNIVERSITY (UG),"zoonotic,language",https://cordis.europa.eu/project/id/101226551
7,PI-HELD GRANT - cold outreach to coordinator,SENTRY,A Precision Agriculture Solution for Plant Pathogen Surveillance and Risk Assessment.,HORIZON-RIA,2026-06-01,2030-05-31,"5999929,02",STREMBLE VENTURES LTD,CY,LIMASSOL,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/954021676/101288591,20,"UNIVERSIDADE NOVA DE LISBOA (PT) | EUROPEAN SENSOR SYSTEMS SA (EL) | AGRICULTURAL APPLICATIONS IKE (EL) | TECHNOLOGIKO PANEPISTIMIO KYPROU (CY) | GIOUMPITEK MELETI SCHEDIASMOS YLOPOIISI KAI POLISI ERGON PLIROFORIKIS ETAIREIA PERIORISMENIS EFTHYNIS (EL) | AMP SCIENTIFIC LTD (CY) | INNOVPLANTPROTECT - ASSOCIACAO (PT) | ROCHACENTER - CENTRO DE POS-COLHEITA E TECNOLOGIA ACE (PT) | Onoblo s.r.l. Società Benefit (IT) | TECHNISCHE UNIVERSITEIT EINDHOVEN (NL) | CER GROUPE (BE) | THE CYPRUS PHASSOURI PLANTATIONS CO. LIMITED (CY) | KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD MURSKA SOBOTA (SI) | ZELENA TOCKA CERP - PROIZVODNO RAZISKOVALNI CENTER zoo (SI) | WABOOST RAZVOJ TEHNOLOGIJ D.O.O. (SI) | BRIGHTLANDS CAMPUS GREENPORT VENLO BV (NL) | ETHNICON METSOVION POLYTECHNION (EL) | CASTROS ILUMINACOES FESTIVAS SA (PT) | MATGLOW - SMART MATERIALS, UNIPESSOAL LDA (PT) | Outro Chão - Agricultura Biológica, Lda (PT)","zoonotic,biodiv",https://cordis.europa.eu/project/id/101288591
7,PI-HELD GRANT - cold outreach to coordinator,GeoAI4EI,GeoAI toolbox for Epidemic Intelligence,HORIZON-RIA,2026-07-01,2030-06-30,"7999816,25",STICHTING OPENGEOHUB,NL,DOORWERTH,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/903930779/101287260,10,"CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMENT - C.I.R.A.D. EPIC (FR) | AVIA-GIS NV (BE) | ENVIRONMENTAL RESEARCH GROUP OXFORD LIMITED (UK) | INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT (FR) | FONDAZIONE EDMUND MACH (IT) | MUNDIALIS GMBH & CO KG (DE) | UNIVERSITE DE GENEVE (CH) | ISTITUTO SUPERIORE DI SANITA (IT) | UNIVERSITAET MUENSTER (DE) | VAGO SOLUTIONS EGBR (DE)","zoonotic,language",https://cordis.europa.eu/project/id/101287260
7,PI-HELD GRANT - cold outreach to coordinator,FLAMR,Federated Learning for Antimicrobial Resistance Surveillance,HORIZON-TMA-MSCA-SE,2026-09-01,2030-08-31,1653300,EESTI MAAULIKOOL,EE,Tartu,http://www.emu.ee,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999857280/101299901,9,"UNIVERSITATEA SPIRU HARET (RO) | JUDETUL ILFOV (RO) | UNIVERSITATEA DIN BUCURESTI (RO) | N-VISION SYSTEMS AND TECHNOLOGIES SL (ES) | UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN (IE) | UNIVERSIDAD DE CALDAS (CO) | Servicios Especiales de Salud (CO) | UNIVERSITRY OF PERADENIYA (LK) | Chungnam National University Industry-Academic Collabroration Foundation (KR)","zoonotic,language",https://cordis.europa.eu/project/id/101299901
7,PI-HELD GRANT - cold outreach to coordinator,VISIONAIR,Virtual Integration for Sustainable and Innovative Observation of Urban Air Quality,HORIZON-RIA,2026-09-01,2030-08-31,"7705663,75",VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK N.V.,BE,Mol,http://www.vito.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999645238/101288740,20,EUROPEAN RESEARCH SERVICES GMBH (DE) | KEMIJSKI INSTITUT (SI) | LUXEMBOURG INSTITUTE OF SCIENCE AND TECHNOLOGY (LU) | HOCHSCHULEN FRESENIUS GEMEINNUTZIGE TRAGERGESELLSCHAFT MBH (DE) | ARISTOTELIO PANEPISTIMIO THESSALONIKIS (EL) | INSTITUT ZA ZDRAVJE IN OKOLJE (SI) | NOVAMECHANICS LIMITED (CY) | NOVAMECHANICS MONOPROSOPI IKE (EL) | University of Novi Sad Faculty of Sciences (RS) | VALSTYBINIS MOKSLINIU TYRIMU INSTITUTAS INOVATYVIOS MEDICINOS CENTRAS (LT) | HELSINGIN YLIOPISTO (FI) | UNIVERSITY OF PIRAEUS RESEARCH CENTER (EL) | FUNDACION CARTIF (ES) | FONDAZIONE ICONS (IT) | GOETEBORGS UNIVERSITET (SE) | REAR WINDOW (BE) | SCIDRONES TEXNOVLASTOS IKE (EL) | ZENTRIX LAB OU (EE) | MESTNA OBCINA LJUBLJANA (SI) | DIMOS PEIRAIA (EL),"culturomics,spatial",https://cordis.europa.eu/project/id/101288740
7,PI-HELD GRANT - cold outreach to coordinator,TETTRIX,TETTRIX: TETTRIs next level for the taxonomy of tomorrow,HORIZON-RIA,2026-09-01,2030-08-31,"11999926,25",CONSORTIUM OF EUROPEAN TAXONOMIC FACILITIES,BE,Bruxelles / Brussel,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/951354079/101286598,18,"NATURHISTORISCHES MUSEUM (AT) | MUSEUM NATIONAL D'HISTOIRE NATURELLE (FR) | FREIE UNIVERSITAET BERLIN (DE) | SENCKENBERG GESELLSCHAFT FUR NATURFORSCHUNG (DE) | AGENTSCHAP PLANTENTUIN MEISE (BE) | STICHTING NATURALIS BIODIVERSITY CENTER (NL) | PANEPISTIMIO KRITIS (EL) | KPMG ADVISORY NV (NL) | UNIVERSIDADE DE LISBOA (PT) | HELMHOLTZ-ZENTRUM FUR UMWELTFORSCHUNG GMBH - UFZ (DE) | PENSOFT PUBLISHERS (BG) | NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU (NO) | HELSINGIN YLIOPISTO (FI) | STAATLICHES MUSEUM FUER NATURKUNDE STUTTGART (DE) | ROYAL BOTANIC GARDENS KEW (UK) | BOTANICKY USTAV AV CR, V.V.I. (CZ) | Board of Trustees of the Royal Botanic Garden Edinburgh (UK) | INSTITUT ROYAL DES SCIENCES NATURELLES DE BELGIQUE (BE)","zoonotic,biodiv",https://cordis.europa.eu/project/id/101286598
7,PI-HELD GRANT - cold outreach to coordinator,MIRRI-FIRM,Making MIRRI FAIR for Globally Impactful Research,HORIZON-RIA,2026-10-01,2030-09-30,3999452,MICROBIAL RESOURCE RESEARCH INFRASTRUCTURE - EUROPEAN RESEARCH INFRASTRUCTURE CONSORTIUM,PT,BRAGA,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/881127049/101292674,24,"SERVICE PUBLIC FEDERAL DE PROGRAMMATION POLITIQUE SCIENTIFIQUE (BE) | UNIVERSITA DEGLI STUDI DI TORINO (IT) | UNIVERSITA DEGLI STUDI DI PERUGIA (IT) | UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA (IT) | CONSIGLIO NAZIONALE DELLE RICERCHE (IT) | INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT (FR) | INSTITUT PASTEUR (FR) | UNIVERSIDADE DO MINHO (PT) | UNIVERSIDADE NOVA DE LISBOA (PT) | UNIVERSITAT DE VALENCIA (ES) | INSTITUTO ANDALUZ DE INVESTIGACIONY FORMACION AGRARIA PESQUERA ALIMENTARIA Y DE LA PRODUCCION ECOLOGICA (ES) | UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA (ES) | ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON (EL) | LATVIJAS UNIVERSITATE (LV) | INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE CHIMICO FARMACEUTICA ICCF BUCURESTI (RO) | KONINKLIJKE NEDERLANDSE AKADEMIE VAN WETENSCHAPPEN - KNAW (NL) | INSTYTUT BIOTECHNOLOGII PRZEMYSLU ROLNO-SPOZYWCZEGO IM PROF WACLAWA DABROWSKIEGO - PANSTWOWY INSTYTUT BADAWCZY (PL) | INSTYTUT IMMUNOLOGII I TERAPII DOSWIADCZALNEJ IM LUDWIKA HIRSZFELDA PAN (PL) | CHEMICKY USTAV SLOVENSKEJ AKADEMIEVIED (SK) | RUDER BOSKOVIC INSTITUTE (HR) | BIOAWARE (BE) | SOCIEDADE PORTUGUESA DE INOVACAO CONSULTADORIA EMPRESARIAL E FOMENTO DA INOVACAO SA (PT) | INESC ID INSTITUTO DE ENGENHARIADE SISTEMAS E COMPUTADORES INVESTIGACAO E DESENVOLVIMENTO EM LISBOA (PT) | INTEGRATED CARBON OBSERVATION SYSTEM EUROPEAN RESEARCH INFRASTRUCTURECONSORTIUM (FI)","zoonotic,biodiv",https://cordis.europa.eu/project/id/101292674
7,PI-HELD GRANT - cold outreach to coordinator,CODA,Conservation of defense and anti-defense mechanisms across the tree of life,HORIZON-ERC,2026-02-01,2031-01-31,1499626,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,FR,PARIS,http://www.cnrs.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999997930/101220240,0,,"zoonotic,biodiv",https://cordis.europa.eu/project/id/101220240
7,DOCTORAL NETWORK - structured PhD recruitment,RESDOC,Training Doctoral Excellence for Resilient and Just Future,HORIZON-TMA-MSCA-Cofund-D,2027-01-01,2031-12-31,4752000,HELSINGIN YLIOPISTO,FI,HELSINGIN YLIOPISTO,http://www.helsinki.fi/university/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999994535/101261796,24,"BIOMENSIO OY (FI) | DEMOS HELSINKI OY (FI) | HELSINGIN KAUPUNKI (FI) | HUS-YHTYMA (FI) | Kost Studio ApS (DK) | LAHDEN KAUPUNKI (FI) | LATVIJAS VALSTS MEZZINATNES INSTITUTS SILAVA (LV) | LINNEUNIVERSITETET (SE) | LUONNONVARAKESKUS (FI) | ORION OYJ (FI) | Ravintoraisio Oy (FI) | Resistomap Oy (FI) | SUOMEN YMPARISTOKESKUS (FI) | TEKNOLOGIAN TUTKIMUSKESKUS VTT OY (FI) | TURUN YLIOPISTO (FI) | Università degli Studi della Tuscia - DISUCOM (IT) | UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN (IE) | GEORG-AUGUST-UNIVERSITAT GOTTINGEN STIFTUNG OFFENTLICHEN RECHTS (DE) | UNIVERSITY OF NAIROBI (KE) | UPM-KYMMENE OYJ (FI) | UUDENMAAN LIITTO (FI) | VALIO OY (FI) | Vetcare Ltd (FI) | SVERIGES LANTBRUKSUNIVERSITET (SE)","zoonotic,biodiv",https://cordis.europa.eu/project/id/101261796
6,"POSTDOC FELLOWSHIP - requires PhD already, not applicable pre-PhD",OCEAN EARS,OCEAN EARS - Sound Swimming with Whales,HORIZON-TMA-MSCA-PF-EF,2026-06-01,2028-05-31,"242260,56",SORBONNE UNIVERSITE,FR,Paris,http://www.sorbonne-universite.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/909875521/101283235,0,,"media,biodiv",https://cordis.europa.eu/project/id/101283235
